,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
0,2020-12-07 16:03,Cheb i Sabbah,Toura Toura - The Nav Deep Remix,89240,Cheb i Sabbah:Toura Toura - The Nav Deep Remix,0,,
1,2020-12-07 16:09,Diljit Dosanjh,Born to Shine,78910,Diljit Dosanjh:Born to Shine,0,,
2,2020-12-07 16:33,KR$NA,Saath Ya Khilaaf,1740,KR$NA:Saath Ya Khilaaf,0,,
3,2020-12-07 16:33,Diljit Dosanjh,High End,1950,Diljit Dosanjh:High End,0,,
4,2020-12-07 18:27,KR$NA,Untitled,410890,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
5,2020-12-08 10:28,Bohemia,Ek Din,60790,Bohemia:Ek Din,0,,
6,2020-12-08 10:39,KR$NA,The Key - Freestyle,101333,KR$NA:The Key - Freestyle,0,,
7,2020-12-08 10:44,KR$NA,Makasam,321500,KR$NA:Makasam,0,,
8,2020-12-08 10:45,DIVINE,Satya,51120,DIVINE:Satya,0,,
9,2020-12-08 12:46,Fotty Seven,Baap Se,3254,Fotty Seven:Baap Se,0,,
10,2020-12-08 12:46,Fotty Seven,Baap Se,156037,Fotty Seven:Baap Se,0,,
11,2020-12-08 12:47,Fotty Seven,Kar Diya,15989,Fotty Seven:Kar Diya,0,,
12,2020-12-08 12:49,Fotty Seven,Baap Se,156037,Fotty Seven:Baap Se,0,,
13,2020-12-08 12:53,Jass Manak,No Competition,205498,Jass Manak:No Competition,1,No Competition,4AVe62GFbb3ffKXjUSpiuv
14,2020-12-08 12:55,Ajey Nagar (CarryMinati),Yalgaar,123374,Ajey Nagar (CarryMinati):Yalgaar,0,,
15,2020-12-08 12:57,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
16,2020-12-08 13:00,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
17,2020-12-08 13:02,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
18,2020-12-08 13:13,KR$NA,Untitled,1746,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
19,2020-12-08 14:37,Cheb i Sabbah,Toura Toura - The Nav Deep Remix,1450,Cheb i Sabbah:Toura Toura - The Nav Deep Remix,0,,
20,2020-12-08 14:37,Cheb i Sabbah,Toura Toura - The Nav Deep Remix,3801,Cheb i Sabbah:Toura Toura - The Nav Deep Remix,0,,
21,2020-12-08 14:37,Fotty Seven,Baap Se,1360,Fotty Seven:Baap Se,0,,
22,2020-12-08 14:37,Jass Manak,No Competition,1213,Jass Manak:No Competition,1,No Competition,4AVe62GFbb3ffKXjUSpiuv
23,2020-12-08 14:37,KR$NA,Untitled,28940,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
24,2020-12-08 14:37,Maninder Buttar,Sakhiyaan,2945,Maninder Buttar:Sakhiyaan,0,,
25,2020-12-08 14:37,Diljit Dosanjh,Born to Shine,11608,Diljit Dosanjh:Born to Shine,0,,
26,2020-12-08 14:37,Diljit Dosanjh,Born to Shine,1988,Diljit Dosanjh:Born to Shine,0,,
27,2020-12-08 14:37,Bohemia,Ek Din,1663,Bohemia:Ek Din,0,,
28,2020-12-08 14:41,Fotty Seven,Baap Se,133487,Fotty Seven:Baap Se,0,,
29,2020-12-08 14:42,Diljit Dosanjh,Clash,68438,Diljit Dosanjh:Clash,0,,
30,2020-12-08 14:43,Maroon 5,Nobody's Love,18240,Maroon 5:Nobody's Love,0,,
31,2020-12-08 14:44,Cheb i Sabbah,Toura Toura - The Nav Deep Remix,26263,Cheb i Sabbah:Toura Toura - The Nav Deep Remix,0,,
32,2020-12-08 14:44,Jass Manak,No Competition,47480,Jass Manak:No Competition,1,No Competition,4AVe62GFbb3ffKXjUSpiuv
33,2020-12-08 14:44,Diljit Dosanjh,Born to Shine,2262,Diljit Dosanjh:Born to Shine,0,,
34,2020-12-08 14:45,KR$NA,Untitled,1781,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
35,2020-12-08 14:45,Maninder Buttar,Sakhiyaan,41582,Maninder Buttar:Sakhiyaan,0,,
36,2020-12-08 14:45,Maninder Buttar,Sakhiyaan,9340,Maninder Buttar:Sakhiyaan,0,,
37,2020-12-08 14:47,Pritam,"Aabaad Barbaad (From ""Ludo"")",91300,"Pritam:Aabaad Barbaad (From ""Ludo"")",1,"Aabaad Barbaad (From ""Ludo"")",0hFUtSsV2itYEUTZGj6w5H
38,2020-12-08 14:48,Ankur Tewari,"Dil Beparvah - The Dewarists, Season 5",34547,"Ankur Tewari:Dil Beparvah - The Dewarists, Season 5",0,,
39,2020-12-08 14:48,Gaurav Chatterji,Phoonk Phoonk,39510,Gaurav Chatterji:Phoonk Phoonk,0,,
40,2020-12-08 14:49,Gajendra Verma,Tera Ghata,50525,Gajendra Verma:Tera Ghata,0,,
41,2020-12-08 14:50,Kesha,TiK ToK,68254,Kesha:TiK ToK,0,,
42,2020-12-08 14:51,Alan Walker,Darkside,26538,Alan Walker:Darkside,0,,
43,2020-12-08 14:52,Tedi Pagg,Tu Hi Das De,50423,Tedi Pagg:Tu Hi Das De,0,,
44,2020-12-08 14:54,Jass Manak,Prada,10023,Jass Manak:Prada,0,,
45,2020-12-08 14:54,Umer Farooq,Patang,67297,Umer Farooq:Patang,0,,
46,2020-12-08 14:55,Yo Yo Honey Singh,Dil Chori,57152,Yo Yo Honey Singh:Dil Chori,0,,
47,2020-12-08 14:55,KR$NA,Seedha Makeover,24714,KR$NA:Seedha Makeover,0,,
48,2020-12-08 15:07,Taaruk Raina,Sukoon,101480,Taaruk Raina:Sukoon,0,,
49,2020-12-08 16:43,Pritam,"Aabaad Barbaad (From ""Ludo"")",76020,"Pritam:Aabaad Barbaad (From ""Ludo"")",1,"Aabaad Barbaad (From ""Ludo"")",0hFUtSsV2itYEUTZGj6w5H
50,2020-12-10 19:29,Tulsi Kumar,Piya Aaye Na,5300,Tulsi Kumar:Piya Aaye Na,0,,
51,2020-12-18 06:40,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
52,2020-12-18 06:40,Maninder Buttar,Sakhiyaan,66,Maninder Buttar:Sakhiyaan,0,,
53,2020-12-18 06:42,KR$NA,Untitled,126620,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
54,2020-12-18 08:20,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
55,2020-12-18 08:23,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
56,2020-12-18 08:23,KR$NA,Untitled,9075,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
57,2020-12-18 08:27,KR$NA,Living Legend,228235,KR$NA:Living Legend,0,,
58,2020-12-18 08:32,KR$NA,Living Legend,214782,KR$NA:Living Legend,0,,
59,2020-12-18 08:35,Jass Manak,No Competition,205500,Jass Manak:No Competition,1,No Competition,4AVe62GFbb3ffKXjUSpiuv
60,2020-12-18 08:37,Cheb i Sabbah,Toura Toura - The Nav Deep Remix,3260,Cheb i Sabbah:Toura Toura - The Nav Deep Remix,0,,
61,2020-12-18 08:37,Tulsi Kumar,Piya Aaye Na,95783,Tulsi Kumar:Piya Aaye Na,0,,
62,2020-12-18 08:37,Maninder Buttar,Sakhiyaan,2343,Maninder Buttar:Sakhiyaan,0,,
63,2020-12-18 08:37,Diljit Dosanjh,Born to Shine,6795,Diljit Dosanjh:Born to Shine,0,,
64,2020-12-18 08:40,Dua Lipa,Don't Start Now,183290,Dua Lipa:Don't Start Now,0,,
65,2020-12-18 08:44,Prem Dhillon,Old Skool,253636,Prem Dhillon:Old Skool,0,,
66,2020-12-18 08:49,Bohemia,Same Beef,290360,Bohemia:Same Beef,0,,
67,2020-12-18 08:50,Sidhu Moose Wala,Famous,25411,Sidhu Moose Wala:Famous,0,,
68,2020-12-20 11:16,KR$NA,The Key - Freestyle,101333,KR$NA:The Key - Freestyle,0,,
69,2020-12-20 11:17,Dino James,Chamkeele Chuze,45726,Dino James:Chamkeele Chuze,0,,
70,2020-12-20 11:20,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
71,2020-12-24 07:36,KR$NA,Untitled,7734,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
72,2020-12-24 07:38,KR$NA,The Key - Freestyle,101333,KR$NA:The Key - Freestyle,0,,
73,2020-12-24 07:57,KR$NA,The Key - Freestyle,50326,KR$NA:The Key - Freestyle,0,,
74,2020-12-24 08:37,KR$NA,The Key - Freestyle,51031,KR$NA:The Key - Freestyle,0,,
75,2020-12-24 08:39,KR$NA,The Key - Freestyle,101333,KR$NA:The Key - Freestyle,0,,
